mode,q1,q2,q3,q4,q5,thRequestedS,thUsedS,E1J,E2J,E3J,E4J,E5J,ETotalJ,startupTimeS,minimumVoltageV,maximumIceVolumeFraction,endCellMaxIce,centerCellMaxIce,chargeCcm2,success,resultStatus
preheat,1,1,1,1,1,33.5162966645716,33.5162966645716,837.90741661429,837.90741661429,837.90741661429,837.90741661429,837.90741661429,4189.53708307145,33.5162966645716,1.22501109010573,0.011602794921586,0.011602794921586,0.0057253993053465,0,1,best_verified_finite_search
coheat,1,1,1,1,0.995588043208565,30.253922673188,30.2539126731895,756.347816829737,756.347816829737,756.347816829737,756.347816829737,753.010842942588,3778.40211026154,30.2539126731895,0.630831914467242,0.119673228310465,0.119673228310465,0.0330395921617901,2.28824808355846,1,best_verified_finite_search
