time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
12,0,0,-14.2971457233637,-4.75496177303148,-1.77380621630084,-4.75495950100895,-14.2971394319146,1.25382290531292,1.24534303625635,1.24266171702432,1.24525519003391,1.25364342943444,0.0115353145327777,0.00637491900221324,0.00572539925343289,0.00638704750923458,0.0115979262661344,300,300,300,300,300,-27.3324481464278,-27.3324476682711
12.5,0,0,-13.8571837180651,-4.09114033232123,-1.02604350719827,-4.09113784900364,-13.8571778822622,1.25343673281491,1.24475824595812,1.24200170540615,1.24466812480684,1.25325316687643,0.0115369809734872,0.00637491900221324,0.00572529915206265,0.00638704750923458,0.011602794921586,312.5,312.5,312.5,312.5,312.5,-27.1500125765731,-27.1500120186315
13,0,0,-13.4262224079581,-3.44692571559222,-0.301850965083588,-3.44692318149129,-13.4262174233525,1.25305839116195,1.24419069745181,1.2413624802233,1.24409840864111,1.25287093138072,0.0115369809734872,0.00637491900221324,0.00559800762791742,0.00638704750923458,0.011602794921586,325,325,325,325,325,-26.9641608177456,-26.9641601930612
13.5,0,0,-13.0038131218976,-2.82141410681572,0.399486002219248,-2.82141162915264,-13.0038088174519,1.25268748965391,1.24363959630575,1.24074340155156,1.24354524394267,1.2524963222764,0.0115369809734872,0.00637491900220772,0.0037146423494323,0.00638704750923317,0.011602794921586,337.5,337.5,337.5,337.5,337.5,-26.775063533742,-26.7750628538276
14,0,0,-12.5895362018754,-2.21372102314217,1.07965903164086,-2.21371866387943,-12.5895324480065,1.25232366304446,1.24310416302418,1.24014302432436,1.2430078454218,1.25212896552055,0.0115369809734872,0.00637491899958993,0.00225340760863878,0.00638704750858191,0.011602794921586,350,350,350,350,350,-26.5828829245299,-26.5828821986661
14.5,0,0,-12.182992845237,-1.62295946364611,1.73964713603016,-1.62295725495886,-12.1829895423764,1.25196656412816,1.24258361795364,1.23956045166094,1.24248542731196,1.2517685053122,0.0115369809734872,0.00637491795685645,0.00136676104191258,0.00638704725622548,0.011602794921586,362.5,362.5,362.5,362.5,362.5,-26.3877731955989,-26.3877724313563
15,0,0,-11.7838039064271,-1.04830615182362,2.38031689838783,-1.04830403540217,-11.7838009758248,1.25161586291039,1.24207723744896,1.23899491893765,1.2419772618086,1.25141460341412,0.0115369809734872,0.00637456562581582,0.000828982475321578,0.0063869641776081,0.011602794921586,375,375,375,375,375,-26.1898809456117,-26.1898801492295
15.5,0,0,-11.3916106911291,-0.489013119787899,3.00253774541119,-0.488992544299833,-11.3916077475013,1.25127124728524,1.24158435951975,1.23844565975081,1.24148267008541,1.25106693962309,0.0115369809734872,0.00628162746170984,0.000502803287591264,0.00636405461873841,0.011602794921586,387.5,387.5,387.5,387.5,387.5,-25.9893455533458,-25.9893447291964
16,0,0,-11.0060913820021,0.0552608918061992,3.60712267654009,0.0554054725811284,-11.0060797107285,1.25093243800826,1.24110466495568,1.23791195968426,1.24100124506659,1.25072522041452,0.0115369809734872,0.00451008034993509,0.000304965610397257,0.00513791480949119,0.011602794921586,400,400,400,400,400,-25.786299639536,-25.7862987406031
16.5,0,0,-10.6269406810658,0.585733840116006,4.1948374816937,0.585789609178335,-10.6269227919962,1.25059916854082,1.2406371423967,1.23739314115188,1.2405322536316,1.25038918387239,0.0115369809734872,0.00274129086361326,0.000184970994597048,0.00314493543568415,0.011602794921586,412.5,412.5,412.5,412.5,412.5,-25.5808696907493,-25.5808685880505
17,0,0,-10.2538266407271,1.1031786611577,4.7665532312185,1.10318451290641,-10.2538097625583,1.25027114945286,1.24018107462443,1.23688843322815,1.24007476162702,1.25005853541038,0.0115369809734872,0.00166269428047441,0.000112190579329291,0.00190759123343054,0.011602794921586,425,425,425,425,425,-25.3731758922959,-25.3731745592677
17.5,0,0,-9.88644590476559,1.60810678297941,5.32307744716348,1.6080898551636,-9.88643280531062,1.24994811736507,1.23973601025123,1.23639712526011,1.23962831898491,1.24973300085977,0.0115369809734872,0.00100847511701954,6.80470260777513e-05,0.00115701288440414,0.011602794921586,437.5,437.5,437.5,437.5,437.5,-25.1633322843912,-25.1633307612611
18,0,0,-9.52452020431036,2.10105801621535,5.86514784553196,2.10103259968298,-9.52451139704044,1.2496298303864,1.23930147539538,1.23591856736701,1.23919245968513,1.24941233060262,0.0115369809734872,0.000611671077717289,4.12726075847721e-05,0.000701763788680678,0.011602794921586,450,450,450,450,450,-24.9514472493812,-24.9514455965201
18.5,0,0,-9.16778961598959,2.58257544811465,6.39345344631681,2.58254868542713,-9.16778463433246,1.24931606242796,1.23887699309498,1.23545215209888,1.23876670990516,1.24909629226155,0.0115369809734872,0.000370997261876431,2.50331018802511e-05,0.000425641253226066,0.011602794921586,462.5,462.5,462.5,462.5,462.5,-24.7376238892911,-24.7376221654787
19,0,0,-8.81600887796731,3.05319110134525,6.90864558900444,3.05316625889554,-8.81600692421085,1.24900660012068,1.23846209593403,1.23499730500666,1.23835060266411,1.24878466693065,0.0115369809734872,0.000225021213655277,1.51833437767653e-05,0.000258164469720037,0.011602794921586,475,475,475,475,475,-24.5219603278038,-24.5219585816996
19.5,0,0,-8.46894533191556,3.51341894445483,7.41134360489116,3.51339725550974,-8.46894558576656,1.24870124106358,1.23805633224137,1.234553479774,1.23794368524729,1.2484772471159,0.0115369809734872,0.000136482264960066,9.20916350463592e-06,0.000156584665890962,0.011602794921586,487.5,487.5,487.5,487.5,487.5,-24.3045499693569,-24.3045482374789
20,0,0,-8.12637770193106,3.96375184460197,7.90213786063589,3.96373352959154,-8.12637944961529,1.2483997927697,1.23765926881246,1.23412015559582,1.23754552263535,1.24817383553886,0.0115369809734872,8.27806780793492e-05,5.58564000802634e-06,9.49734005565176e-05,0.011602794921586,500,500,500,500,500,-24.0854817324512,-24.0854800400793
20.5,0,0,-7.78809529606832,4.40466059230226,8.38159156362582,4.40464541040785,-7.7880979690587,1.24810207197067,1.23727049179699,1.23369683561442,1.23715569879568,1.24787424437475,0.0115369809734872,5.02090201517345e-05,3.38786197244988e-06,5.76042802999932e-05,0.011602794921586,512.5,512.5,512.5,512.5,512.5,-23.8648402659561,-23.8648386291088
21,0,0,-7.45389741725296,4.83659398504022,8.8502420197546,4.83658152234659,-7.4539005888318,1.24780790410157,1.23688960664562,1.23328304582187,1.23677381685624,1.24757829470557,0.0115369809734872,3.04533113401019e-05,2.05484223324417e-06,3.49387635511333e-05,0.011602794921586,525,525,525,525,525,-23.6427061528679,-23.6427045804561
21.5,0,0,-7.12359287673053,5.25997942781822,9.30860167156061,5.25996924002709,-7.12359624162963,1.24751712287519,1.23651623759538,1.23287833414841,1.23639949871553,1.24728581607884,0.0115369809734872,1.84708678870786e-05,1.24632486875188e-06,2.11914323104768e-05,0.011602794921586,537.5,537.5,537.5,537.5,537.5,-23.4191561037729,-23.4191545995355
22,0,0,-6.79699955842989,5.67522376557662,9.75715906178567,5.6752154423807,-6.79700290812031,1.24722956990124,1.23615002694643,1.23248226961301,1.23603238438521,1.24699664611811,0.0115369809734872,1.12031482632833e-05,7.55934279730233e-07,1.2853254083423e-05,0.011602794921586,550,550,550,550,550,-23.1942631411772,-23.1942617052689
22.5,0,0,-6.47394401059978,6.08271420092052,10.1963797786004,6.08270738966331,-6.47394720997784,1.2469450943298,1.2357906342608,1.23209444148893,1.23567213122143,1.24671063016075,0.0115369809734872,6.79505335972577e-06,4.58497344477195e-07,7.79589319349168e-06,0.011602794921586,562.5,562.5,562.5,562.5,562.5,-22.9680967753629,-22.9680954055804
23,0,0,-6.15426105478736,6.48281922423178,10.6267073980035,6.48281363356051,-6.15426402245822,1.24666355251024,1.23543773554809,1.23171445847124,1.23531841312466,1.24642762091199,0.0115369809734872,4.12140843018961e-06,2.78092710435004e-07,4.72844850254866e-06,0.011602794921586,575,575,575,575,575,-22.7407231721851,-22.7407218648779
23.5,0,0,-5.8377934086318,6.87588952170319,11.0485644220163,6.87588491632431,-5.83779610124526,1.24638480766245,1.23509102246936,1.23134194784821,1.23497091974769,1.24614747811136,0.0115369809734872,2.49976078904987e-06,1.68671767118787e-07,2.86794922385932e-06,0.011602794921586,587.5,587.5,587.5,587.5,587.5,-22.5122053131335,-22.5122040638552
24,0,0,-5.52439132160578,7.26225884664922,11.4623532059182,7.26225503892283,-5.52439372191679,1.24610872955941,1.2347502015724,1.23097655468247,1.23462935572988,1.24587006821021,0.0115369809734872,1.5161817183394e-06,1.02304606424255e-07,1.73949930000174e-06,0.011602794921586,600,600,600,600,600,-22.2826031479648,-22.2826019519252
24.5,0,0,-5.21391222389826,7.64224484898676,11.8684568669829,7.64224169015336,-5.21391433194538,1.24583519422142,1.23441499356322,1.23061794100876,1.23429343996511,1.24559526406055,0.0115369809734872,9.19610766041506e-07,6.20508837934447e-08,1.05505972616778e-06,0.011602794921586,612.5,612.5,612.5,612.5,612.5,-22.0519737401798,-22.0519725925471
25,0,0,-4.90622038879479,8.0161498624575,12.267240168584,8.01614723471647,-4.90622221554491,1.24556408362205,1.23408513261442,1.23026578505349,1.23396290490551,1.24532294461543,0.0115369809734872,5.5777220993794e-07,3.76357671243856e-08,6.3992615047022e-07,0.011602794921586,625,625,625,625,625,-21.8203714056336,-21.8203703017278
25.5,0,0,-4.60118660876361,8.38426165122922,12.6590503754049,8.38425946108009,-4.60118817163846,1.2452952854061,1.23376036570898,1.22991978048005,1.23363749590033,1.2450529946411,0.0115369809734872,3.38305987409609e-07,2.28272482006745e-08,3.88134865027878e-07,0.011602794921586,637.5,637.5,637.5,637.5,637.5,-21.5878478445869,-21.5878467799968
26,0,0,-4.29868788540387,8.74685411790983,13.0442180767384,8.74685229078347,-4.29868920520289,1.24502869261965,1.2334404520179,1.22957963566227,1.23331697056878,1.24478530444123,0.0115369809734872,2.0519297715152e-07,1.3845426641629e-08,2.35415713704624e-07,0.011602794921586,650,650,650,650,650,-21.3544522674476,-21.3544512380927
26.5,0,0,-3.99860713306043,9.10418797552251,13.4230579766228,9.10418645155926,-3.99860823189897,1.24476420345205,1.23312516230944,1.22924507298726,1.2330010982046,1.24451976959308,0.0115369809734872,1.24455858567229e-07,8.3976764433936e-09,1.42786866669035e-07,0.011602794921586,662.5,662.5,662.5,662.5,662.5,-21.1202315145162,-21.1202305166743
27,0,0,-3.7008328958716,9.45651138561999,13.7958696502375,9.45651011640138,-3.70083379584224,1.2445017209896,1.23281427838806,1.22891582818808,1.23268965921076,1.24425629069542,0.0115369809734872,7.54863206361322e-08,5.09344872607151e-09,8.66046283959207e-08,0.011602794921586,675,675,675,675,675,-20.8852301699988,-20.8852292003087
27.5,0,0,-3.4052590778897,9.80406056457429,14.1629382667048,9.80405951061618,-3.40525980023085,1.24424115298065,1.23250759256134,1.22859164970605,1.23238244456237,1.24399477312804,0.011536980973487,4.57847876837511e-08,3.08933306956289e-09,5.25283728067551e-08,0.011602794921586,687.5,687.5,687.5,687.5,687.5,-20.6494906705453,-20.649489725995
28,0,0,-3.11178468582477,10.147060359927,14.5245352789719,10.1470594887655,-3.11178525043852,1.24398241161171,1.23220490713319,1.22827229808211,1.2320792552962,1.24373512682231,0.0115369809734818,2.77698956110511e-08,1.8737754060485e-09,3.18600774240225e-08,0.0116027949215858,700,700,700,700,700,-20.4130534085785,-20.4130524864847
28.5,0,0,-2.82031358391174,10.4857247985231,14.8809190817577,10.4857240832523,-2.82031400911785,1.24372541329406,1.23190603392187,1.22795754537642,1.23177990202525,1.24347726604262,0.0115369809733855,1.68433023035452e-08,1.13650229311403e-09,1.93241178488991e-08,0.0116027949215832,712.5,712.5,712.5,712.5,712.5,-20.1759568306628,-20.1759559286461
29,0,0,-2.53075425956331,10.8202576098275,15.2323356409276,10.8202570279811,-2.53075456200747,1.24347007845986,1.23161079379984,1.22764717461313,1.23148420447541,1.24322110917732,0.01153698097161,1.02159722169891e-08,6.89322640507643e-10,1.17206575656144e-08,0.0116027949215353,725,725,725,725,725,-19.9382375314886,-19.9382366474458
29.5,0,0,-2.24301960458206,11.150852714077,15.5790190813149,11.1508522467688,-2.24301979924081,1.24321633137172,1.23131901626452,1.22734097926184,1.23119199105324,1.24296657854351,0.0115369809395179,6.19630035948119e-09,4.18095315301756e-10,7.10893815533269e-09,0.0116027949206789,737.5,737.5,737.5,737.5,737.5,-19.6999303415837,-19.6999294736611
30,0,0,-1.95702669812511,11.4776947063556,15.9211922702049,11.4776943376164,-1.9570267982931,1.24296409993387,1.2310305390126,1.22703876272287,1.23090309841747,1.24271360019335,0.0115369803698542,3.75824613953734e-09,2.5358762705671e-10,4.31178894315668e-09,0.0116027949056462,750,750,750,750,750,-19.4610684143226,-19.4610675608889
30.5,0,0,-1.6726966101599,11.8009592976424,16.2590673493082,11.8009590139648,-1.67269662613523,1.24271331552091,1.23074520755228,1.22674033785796,1.23061737108848,1.24246210373747,0.0115369704319447,2.27949150717573e-09,1.53808670517727e-10,2.61523218856279e-09,0.0116027946461675,762.5,762.5,762.5,762.5,762.5,-19.2216833052384,-19.2216824648538
31,0,0,-1.38995423211384,12.1208137433347,16.592846253029,12.1208135343786,-1.38995414704311,1.2424639128271,1.2304628748265,1.22644552653315,1.23033466106812,1.24221202217337,0.0115367999223152,1.38258148571556e-09,9.32896742676655e-11,1.58621850240372e-09,0.0116027902387878,775,775,775,775,775,-18.9818050493855,-18.9818042206596
31.5,0,0,-1.10872848827557,12.4374172319223,16.9227211986973,12.4374171090597,-1.10872785000413,1.24221582999385,1.23018340087282,1.22615415918632,1.23005482748001,1.24196329172978,0.0115339227641136,8.38578059955879e-10,5.65830476319494e-11,9.62090153929264e-10,0.0116027165201623,787.5,787.5,787.5,787.5,787.5,-18.7414622364616,-18.7414614160215
32,0,0,-0.828958566774929,12.7509209713439,17.2488751396697,12.7509212788691,-0.8289498401125,1.24196901312598,1.22990665277326,1.22586607442871,1.2297777362343,1.2417158518319,0.011486750823005,5.08623303885884e-10,3.43193532060792e-11,5.83537175720203e-10,0.0116015018703914,800,800,800,800,800,-18.5006821125026,-18.5006812617474
32.5,0,0,-0.550672967641503,13.0614642975213,17.5714819905331,13.0614701487843,-0.550558327962108,1.24172347557318,1.22963250842247,1.22558111886343,1.2295032598251,1.24146964689106,0.0108565905256541,3.08495614104068e-10,2.08157389999165e-11,3.53933172155216e-10,0.0115818768315594,812.5,812.5,812.5,812.5,812.5,-18.2594911027755,-18.2594896713664
33,0,0,-0.274062352502028,13.3691547608765,17.8907052143397,13.3691987435196,-0.273535101153072,1.24147938237772,1.22936087493976,1.22529914844148,1.22923127883716,1.24122465398769,0.00803457142493381,1.87112039917632e-10,1.2625383339662e-11,2.14671310737518e-10,0.0112940661464442,825,825,825,825,825,-18.0179171979355,-18.0179115253215
33.5,0,0,0.00134090644030493,13.6741074728502,18.2066958877854,13.674217595319,0.00192735272793243,1.24123637659281,1.22909164959358,1.22502003007689,1.22896169577717,1.2409810228257,0.00499418251692709,1.13489190014058e-10,7.65768215378469e-12,1.30204732873345e-10,0.00923041130989187,837.5,837.5,837.5,837.5,837.5,-17.7759865667562,-17.7759724273613
33.5162966645716,0,0,0.0102114332890437,13.6838687351122,18.2168083737748,13.6839805423816,0.0107888461022299,1.24122854453137,1.22908302430386,1.22501109010573,1.22895305959713,1.24097318044835,0.00491419660427559,1.11654681465316e-10,7.53389870469211e-12,1.28100024085546e-10,0.00912202113765046,837.90741661429,837.90741661429,837.90741661429,837.90741661429,837.90741661429,-17.768095466704,-17.7680810691987
