time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
20,0.1,1.00000000000743,-7.15636787111373,5.48383392127977,9.5870748381837,5.46760617888918,-7.18784748418727,0.786595140889565,0.800279389659305,0.798379987355137,0.800414555382694,0.779720344360967,0.0674963627951622,0.000245770961819224,1.90942419526227e-05,0.000276719912892807,0.061385731299419,500,500,500,500,497.794021604283,-23.9057413679882,-23.9170246304511
20.5,0.1025,1.05062500000743,-6.78313326320978,5.97989698438573,10.1277794082729,5.96367205979902,-6.81457691163337,0.790853094130084,0.796790357680003,0.795161842064006,0.796913330770939,0.783619501678367,0.0698526045321336,0.000149067594136571,1.15812408783779e-05,0.000167839078137121,0.0635277804089061,512.5,512.5,512.5,512.5,510.23887214439,-23.673992388659,-23.6855497963892
21,0.105,1.10250000000743,-6.41340725508604,6.4682699711243,10.6591907946795,6.45209691460803,-6.44478225214471,0.794934951901844,0.793359941584687,0.792093914997351,0.793450275592325,0.787332962443378,0.0722587991921344,9.04140515774535e-05,7.02437653316686e-06,0.000101799530309042,0.0657198998893121,525,525,525,525,522.683722684497,-23.4404217937511,-23.4522486870152
21.5,0.1075,1.15562500000743,-6.04696160275392,6.9493225445035,11.1817549494726,6.93323015147433,-6.07823443588984,0.798851440406881,0.790083092474758,0.789267361622777,0.790113577855463,0.79087041538781,0.0747231444276605,5.48388943039411e-05,4.26049972910937e-06,6.17445362242847e-05,0.0679687845910664,537.5,537.5,537.5,537.5,535.128573224604,-23.2051027615892,-23.2171940869516
22,0.11,1.21000000000743,-5.68352847900456,7.42339755479492,11.6958765514727,7.40740583363288,-5.71472594243284,0.800188416932237,0.787082475945327,0.786788170624133,0.787019361003877,0.794239174449281,0.0772468268276787,3.3261470732399e-05,2.5841237108054e-06,3.74499542811169e-05,0.070282189996069,550,550,550,550,547.573423764711,-22.9681042814573,-22.9804547146026
22.5,0.1125,1.26562500000744,-5.32246511209246,7.89083830605779,12.201921418457,7.87493010657232,-5.35405273992706,0.798170346356424,0.784501847081222,0.784766240996885,0.784309802430846,0.796268854322152,0.0798099318053595,2.01741021357034e-05,1.56735028623675e-06,2.27145458696974e-05,0.0726690070203585,562.5,562.5,562.5,562.5,560.018274304818,-22.7294878081308,-22.7420955426637
23,0.115,1.32250000000744,-4.96358424007587,8.35197451145876,12.7002229149258,8.33609825075752,-4.99563961822025,0.796122030783181,0.782484611503798,0.783297540779339,0.782135748976532,0.794015906336025,0.0824142112791815,1.22361881152194e-05,9.50644188069943e-07,1.37770421872461e-05,0.075139273513096,575,575,575,575,572.463124844925,-22.4893076347441,-22.5021755926603
23.5,0.1175,1.38062500000744,-4.60680634460368,8.80708098338016,13.1910883712139,8.79120879888484,-4.63922597306794,0.794029915881805,0.781126379926695,0.78243465552941,0.780604661721145,0.791709645219035,0.085065636274179,7.42162364771227e-06,5.76594877449188e-07,8.35619893463546e-06,0.0777040948644924,587.5,587.5,587.5,587.5,584.907975385032,-22.2476159177876,-22.2607460992727
24,0.12,1.44000000000745,-4.25204899239816,9.25639343358461,13.6748061303985,9.24051684295983,-4.28475062223026,0.791880627238522,0.780468807678386,0.782156100911332,0.779777097389546,0.789337656074813,0.0877720669640149,4.50144255128474e-06,3.49722491924345e-07,5.0682911498703e-06,0.0803753812700277,600,600,600,600,597.352825925139,-22.0044629395632,-22.0178560362764
24.5,0.1225,1.50062500000744,-3.89923011186693,9.70012654455269,14.1516526553584,9.68424651879423,-3.93214748755332,0.789661152945741,0.780479631743174,0.782382664742288,0.779640206805696,0.786887912717709,0.0905434159253673,2.73026307613465e-06,2.12117425851036e-07,3.07407415021692e-06,0.0831654594676098,612.5,612.5,612.5,612.5,609.797676465246,-21.7598971170714,-21.7735527867416
